output_text=D:/code/cpp/vs/myKCF/joaofaro/joao/run/output_data/20260608_0931.txt
effective_feature_channels=22
Running KCF evaluation
config=D:\code\cpp\vs\myKCF\joaofaro\joao\configs\dut_video14_hog18_cn4.yaml
experiment.name=dut_video14_hog18_cn4
experiment.description=DUT AUAV video14 image sequence with 18-channel FHOG and 4-channel CN
input.type=image_sequence
video=
image_dir=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0/video14
image_extension=.jpg
image_start_index=1
image_index_digits=5
annotation=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0GT/video14_gt.txt
save_video=false
output_video=D:/code/cpp/vs/myKCF/joaofaro/joao/run/dut_video14_output.mp4
fixed_window=false
multiscale=true
hog.enabled=true
hog.channels=18
cn.enabled=true
cn.channels=4
lab.enabled=false
fusion.mode=concat
frame=1, load_ms=23.119, kcf_ms=0.000, target=valid, CLE=0.000, IoU=1.000
frame=2, load_ms=21.292, kcf_ms=11.257, target=valid, CLE=1.414, IoU=0.891
frame=3, load_ms=24.109, kcf_ms=11.809, target=valid, CLE=1.581, IoU=0.929
frame=4, load_ms=22.565, kcf_ms=11.679, target=valid, CLE=2.062, IoU=0.868
frame=5, load_ms=21.618, kcf_ms=11.200, target=valid, CLE=2.915, IoU=0.854
frame=6, load_ms=21.966, kcf_ms=11.132, target=valid, CLE=5.025, IoU=0.797
frame=7, load_ms=22.204, kcf_ms=11.300, target=valid, CLE=4.500, IoU=0.787
frame=8, load_ms=21.242, kcf_ms=10.987, target=valid, CLE=6.265, IoU=0.733
frame=9, load_ms=21.212, kcf_ms=11.367, target=valid, CLE=6.519, IoU=0.722
frame=10, load_ms=21.869, kcf_ms=11.229, target=valid, CLE=6.727, IoU=0.690
frame=11, load_ms=21.460, kcf_ms=11.165, target=valid, CLE=3.162, IoU=0.871
frame=12, load_ms=21.762, kcf_ms=11.215, target=valid, CLE=2.000, IoU=0.896
frame=13, load_ms=22.133, kcf_ms=11.120, target=valid, CLE=3.536, IoU=0.694
frame=14, load_ms=21.976, kcf_ms=11.082, target=valid, CLE=1.803, IoU=0.779
frame=15, load_ms=21.350, kcf_ms=11.140, target=valid, CLE=3.000, IoU=0.866
frame=16, load_ms=22.111, kcf_ms=11.630, target=valid, CLE=2.693, IoU=0.801
frame=17, load_ms=21.136, kcf_ms=11.444, target=valid, CLE=1.000, IoU=0.896
frame=18, load_ms=21.591, kcf_ms=11.026, target=valid, CLE=1.118, IoU=0.890
frame=19, load_ms=21.735, kcf_ms=11.449, target=valid, CLE=1.581, IoU=0.821
frame=20, load_ms=21.648, kcf_ms=11.201, target=valid, CLE=2.550, IoU=0.907
frame=21, load_ms=21.403, kcf_ms=11.218, target=valid, CLE=3.202, IoU=0.828
frame=22, load_ms=21.161, kcf_ms=10.893, target=valid, CLE=0.707, IoU=0.883
frame=23, load_ms=21.629, kcf_ms=11.366, target=valid, CLE=0.707, IoU=0.821
frame=24, load_ms=21.571, kcf_ms=10.929, target=valid, CLE=1.118, IoU=0.768
frame=25, load_ms=20.937, kcf_ms=11.146, target=valid, CLE=2.000, IoU=0.748
frame=26, load_ms=21.255, kcf_ms=11.699, target=valid, CLE=4.031, IoU=0.749
frame=27, load_ms=22.409, kcf_ms=11.246, target=valid, CLE=3.202, IoU=0.768
frame=28, load_ms=22.596, kcf_ms=11.390, target=valid, CLE=1.000, IoU=0.836
frame=29, load_ms=22.023, kcf_ms=11.155, target=valid, CLE=1.000, IoU=0.872
frame=30, load_ms=21.194, kcf_ms=10.923, target=valid, CLE=1.581, IoU=0.862
frame=31, load_ms=21.137, kcf_ms=11.325, target=valid, CLE=2.000, IoU=0.765
frame=32, load_ms=24.679, kcf_ms=11.276, target=valid, CLE=1.414, IoU=0.791
frame=33, load_ms=21.220, kcf_ms=11.423, target=valid, CLE=1.500, IoU=0.558
frame=34, load_ms=21.138, kcf_ms=10.903, target=valid, CLE=2.915, IoU=0.551
frame=35, load_ms=21.494, kcf_ms=11.289, target=valid, CLE=1.581, IoU=0.583
frame=36, load_ms=21.138, kcf_ms=11.489, target=valid, CLE=5.523, IoU=0.536
frame=37, load_ms=21.075, kcf_ms=11.170, target=valid, CLE=1.803, IoU=0.531
frame=38, load_ms=20.966, kcf_ms=11.245, target=valid, CLE=3.202, IoU=0.431
frame=39, load_ms=21.489, kcf_ms=10.921, target=valid, CLE=5.852, IoU=0.472
frame=40, load_ms=21.663, kcf_ms=10.983, target=valid, CLE=4.123, IoU=0.552
frame=41, load_ms=20.922, kcf_ms=11.038, target=valid, CLE=2.062, IoU=0.658
frame=42, load_ms=21.077, kcf_ms=11.068, target=valid, CLE=1.118, IoU=0.635
frame=43, load_ms=21.114, kcf_ms=11.324, target=valid, CLE=2.550, IoU=0.602
frame=44, load_ms=21.253, kcf_ms=11.231, target=valid, CLE=3.162, IoU=0.665
frame=45, load_ms=21.214, kcf_ms=10.985, target=valid, CLE=4.000, IoU=0.595
frame=46, load_ms=21.565, kcf_ms=11.195, target=valid, CLE=2.000, IoU=0.582
frame=47, load_ms=24.650, kcf_ms=11.223, target=valid, CLE=0.000, IoU=0.595
frame=48, load_ms=21.074, kcf_ms=11.043, target=valid, CLE=2.000, IoU=0.569
frame=49, load_ms=21.262, kcf_ms=11.475, target=valid, CLE=2.062, IoU=0.595
frame=50, load_ms=21.218, kcf_ms=11.398, target=valid, CLE=2.062, IoU=0.519
frame=51, load_ms=21.355, kcf_ms=11.236, target=valid, CLE=3.041, IoU=0.590
frame=52, load_ms=21.224, kcf_ms=11.175, target=valid, CLE=3.202, IoU=0.622
frame=53, load_ms=21.526, kcf_ms=10.460, target=valid, CLE=3.606, IoU=0.462
frame=54, load_ms=21.810, kcf_ms=10.977, target=valid, CLE=3.162, IoU=0.426
frame=55, load_ms=21.266, kcf_ms=11.298, target=valid, CLE=0.500, IoU=0.499
frame=56, load_ms=21.129, kcf_ms=11.581, target=valid, CLE=1.000, IoU=0.484
frame=57, load_ms=21.660, kcf_ms=10.763, target=valid, CLE=1.500, IoU=0.440
frame=58, load_ms=21.472, kcf_ms=10.625, target=valid, CLE=2.236, IoU=0.503
frame=59, load_ms=21.176, kcf_ms=10.916, target=valid, CLE=1.803, IoU=0.542
frame=60, load_ms=22.366, kcf_ms=11.447, target=valid, CLE=1.803, IoU=0.671
frame=61, load_ms=21.372, kcf_ms=11.273, target=valid, CLE=2.828, IoU=0.562
frame=62, load_ms=21.514, kcf_ms=11.267, target=valid, CLE=2.828, IoU=0.532
frame=63, load_ms=21.998, kcf_ms=11.672, target=valid, CLE=1.581, IoU=0.486
frame=64, load_ms=25.537, kcf_ms=11.391, target=valid, CLE=0.707, IoU=0.495
frame=65, load_ms=21.269, kcf_ms=11.284, target=valid, CLE=1.500, IoU=0.597
frame=66, load_ms=21.511, kcf_ms=11.447, target=valid, CLE=4.717, IoU=0.551
frame=67, load_ms=21.367, kcf_ms=10.907, target=valid, CLE=2.693, IoU=0.591
frame=68, load_ms=20.954, kcf_ms=10.829, target=valid, CLE=7.280, IoU=0.709
frame=69, load_ms=21.568, kcf_ms=10.978, target=valid, CLE=8.732, IoU=0.614
frame=70, load_ms=21.114, kcf_ms=11.109, target=valid, CLE=4.717, IoU=0.798
frame=71, load_ms=21.072, kcf_ms=11.372, target=valid, CLE=1.000, IoU=0.608
frame=72, load_ms=22.107, kcf_ms=11.756, target=valid, CLE=2.693, IoU=0.574
frame=73, load_ms=25.730, kcf_ms=14.418, target=valid, CLE=4.610, IoU=0.703
frame=74, load_ms=21.354, kcf_ms=11.579, target=valid, CLE=6.576, IoU=0.671
frame=75, load_ms=22.710, kcf_ms=11.257, target=valid, CLE=1.581, IoU=0.480
frame=76, load_ms=22.856, kcf_ms=11.683, target=valid, CLE=5.025, IoU=0.536
frame=77, load_ms=21.678, kcf_ms=11.865, target=valid, CLE=8.246, IoU=0.448
frame=78, load_ms=21.554, kcf_ms=10.960, target=valid, CLE=2.236, IoU=0.487
frame=79, load_ms=24.294, kcf_ms=12.832, target=valid, CLE=5.500, IoU=0.466
frame=80, load_ms=21.192, kcf_ms=10.977, target=valid, CLE=4.031, IoU=0.552
frame=81, load_ms=22.380, kcf_ms=12.293, target=valid, CLE=2.236, IoU=0.512
frame=82, load_ms=21.212, kcf_ms=11.537, target=valid, CLE=3.354, IoU=0.481
frame=83, load_ms=21.313, kcf_ms=11.287, target=valid, CLE=4.500, IoU=0.545
frame=84, load_ms=23.023, kcf_ms=11.117, target=valid, CLE=3.000, IoU=0.506
frame=85, load_ms=21.788, kcf_ms=11.748, target=valid, CLE=1.803, IoU=0.629
frame=86, load_ms=21.572, kcf_ms=10.930, target=valid, CLE=0.500, IoU=0.609
frame=87, load_ms=25.103, kcf_ms=11.395, target=valid, CLE=2.693, IoU=0.665
frame=88, load_ms=21.424, kcf_ms=11.213, target=valid, CLE=2.693, IoU=0.616
frame=89, load_ms=22.537, kcf_ms=11.056, target=valid, CLE=1.803, IoU=0.665
frame=90, load_ms=21.395, kcf_ms=11.126, target=valid, CLE=3.041, IoU=0.727
frame=91, load_ms=21.563, kcf_ms=10.900, target=valid, CLE=4.031, IoU=0.657
frame=92, load_ms=21.019, kcf_ms=11.166, target=valid, CLE=2.236, IoU=0.682
frame=93, load_ms=21.139, kcf_ms=11.241, target=valid, CLE=6.708, IoU=0.564
frame=94, load_ms=21.182, kcf_ms=10.882, target=valid, CLE=7.649, IoU=0.578
frame=95, load_ms=21.232, kcf_ms=10.790, target=valid, CLE=7.433, IoU=0.565
frame=96, load_ms=20.953, kcf_ms=10.950, target=valid, CLE=7.280, IoU=0.611
frame=97, load_ms=23.034, kcf_ms=10.675, target=valid, CLE=8.631, IoU=0.486
frame=98, load_ms=21.310, kcf_ms=10.524, target=valid, CLE=5.220, IoU=0.554
frame=99, load_ms=21.483, kcf_ms=10.586, target=valid, CLE=4.272, IoU=0.470
frame=100, load_ms=22.079, kcf_ms=12.154, target=valid, CLE=2.062, IoU=0.467
frame=101, load_ms=21.497, kcf_ms=10.764, target=valid, CLE=5.852, IoU=0.511
frame=102, load_ms=21.187, kcf_ms=10.678, target=valid, CLE=2.121, IoU=0.436
frame=103, load_ms=21.374, kcf_ms=10.603, target=valid, CLE=4.528, IoU=0.495
frame=104, load_ms=21.215, kcf_ms=10.472, target=valid, CLE=4.031, IoU=0.492
frame=105, load_ms=21.631, kcf_ms=10.703, target=valid, CLE=2.236, IoU=0.520
frame=106, load_ms=21.372, kcf_ms=10.493, target=valid, CLE=1.118, IoU=0.496
frame=107, load_ms=21.841, kcf_ms=10.590, target=valid, CLE=2.121, IoU=0.474
frame=108, load_ms=21.296, kcf_ms=10.968, target=valid, CLE=1.000, IoU=0.480
frame=109, load_ms=21.236, kcf_ms=10.478, target=valid, CLE=4.031, IoU=0.500
frame=110, load_ms=21.392, kcf_ms=10.386, target=valid, CLE=2.550, IoU=0.631
frame=111, load_ms=21.332, kcf_ms=10.828, target=valid, CLE=3.162, IoU=0.460
frame=112, load_ms=21.823, kcf_ms=10.547, target=valid, CLE=3.640, IoU=0.527
frame=113, load_ms=21.429, kcf_ms=10.760, target=valid, CLE=6.185, IoU=0.489
frame=114, load_ms=21.359, kcf_ms=10.506, target=valid, CLE=9.124, IoU=0.471
frame=115, load_ms=21.415, kcf_ms=10.726, target=valid, CLE=13.500, IoU=0.510
frame=116, load_ms=21.386, kcf_ms=10.482, target=valid, CLE=7.566, IoU=0.507
frame=117, load_ms=21.224, kcf_ms=10.727, target=valid, CLE=6.519, IoU=0.588
frame=118, load_ms=21.028, kcf_ms=10.650, target=valid, CLE=3.000, IoU=0.595
frame=119, load_ms=21.585, kcf_ms=10.703, target=valid, CLE=3.202, IoU=0.357
frame=120, load_ms=21.429, kcf_ms=10.183, target=valid, CLE=8.246, IoU=0.367
frame=121, load_ms=21.088, kcf_ms=10.011, target=valid, CLE=7.762, IoU=0.339
frame=122, load_ms=21.264, kcf_ms=10.823, target=valid, CLE=12.659, IoU=0.311
frame=123, load_ms=21.486, kcf_ms=10.410, target=valid, CLE=7.433, IoU=0.290
frame=124, load_ms=22.092, kcf_ms=10.538, target=valid, CLE=5.025, IoU=0.300
frame=125, load_ms=21.247, kcf_ms=10.423, target=valid, CLE=0.500, IoU=0.236
frame=126, load_ms=21.118, kcf_ms=10.538, target=valid, CLE=1.500, IoU=0.233
frame=127, load_ms=21.544, kcf_ms=11.074, target=valid, CLE=7.517, IoU=0.234
frame=128, load_ms=21.108, kcf_ms=10.355, target=valid, CLE=7.566, IoU=0.244
frame=129, load_ms=21.075, kcf_ms=10.303, target=valid, CLE=2.915, IoU=0.238
frame=130, load_ms=21.585, kcf_ms=10.557, target=valid, CLE=4.031, IoU=0.263
frame=131, load_ms=21.454, kcf_ms=10.510, target=valid, CLE=1.581, IoU=0.274
frame=132, load_ms=20.977, kcf_ms=10.256, target=valid, CLE=1.803, IoU=0.269
frame=133, load_ms=20.920, kcf_ms=10.712, target=valid, CLE=4.272, IoU=0.259
frame=134, load_ms=21.373, kcf_ms=10.539, target=valid, CLE=2.062, IoU=0.241
frame=135, load_ms=21.283, kcf_ms=9.990, target=valid, CLE=4.610, IoU=0.236
frame=136, load_ms=21.538, kcf_ms=10.331, target=valid, CLE=3.500, IoU=0.251
frame=137, load_ms=21.043, kcf_ms=10.593, target=valid, CLE=2.500, IoU=0.257
frame=138, load_ms=21.487, kcf_ms=10.821, target=valid, CLE=3.000, IoU=0.224
frame=139, load_ms=21.625, kcf_ms=10.276, target=valid, CLE=3.354, IoU=0.276
frame=140, load_ms=21.866, kcf_ms=10.346, target=valid, CLE=1.500, IoU=0.262
frame=141, load_ms=21.104, kcf_ms=10.429, target=valid, CLE=2.828, IoU=0.278
frame=142, load_ms=21.410, kcf_ms=10.146, target=valid, CLE=2.693, IoU=0.247
frame=143, load_ms=21.270, kcf_ms=10.312, target=valid, CLE=2.236, IoU=0.288
frame=144, load_ms=21.112, kcf_ms=10.455, target=valid, CLE=1.000, IoU=0.294
frame=145, load_ms=21.692, kcf_ms=10.413, target=valid, CLE=3.162, IoU=0.260
frame=146, load_ms=21.620, kcf_ms=10.434, target=valid, CLE=1.500, IoU=0.288
frame=147, load_ms=21.323, kcf_ms=10.305, target=valid, CLE=2.693, IoU=0.285
frame=148, load_ms=21.517, kcf_ms=10.346, target=valid, CLE=2.550, IoU=0.284
frame=149, load_ms=21.530, kcf_ms=10.653, target=valid, CLE=2.828, IoU=0.286
frame=150, load_ms=21.019, kcf_ms=10.039, target=valid, CLE=4.031, IoU=0.279
frame=151, load_ms=21.273, kcf_ms=9.769, target=valid, CLE=9.301, IoU=0.399
frame=152, load_ms=21.610, kcf_ms=10.344, target=valid, CLE=6.801, IoU=0.328
frame=153, load_ms=21.064, kcf_ms=10.090, target=valid, CLE=2.550, IoU=0.266
frame=154, load_ms=21.424, kcf_ms=10.188, target=valid, CLE=6.325, IoU=0.243
frame=155, load_ms=21.426, kcf_ms=10.322, target=valid, CLE=8.139, IoU=0.269
frame=156, load_ms=21.578, kcf_ms=10.223, target=valid, CLE=8.062, IoU=0.237
frame=157, load_ms=21.412, kcf_ms=9.957, target=valid, CLE=10.198, IoU=0.249
frame=158, load_ms=21.525, kcf_ms=10.058, target=valid, CLE=7.906, IoU=0.243
frame=159, load_ms=21.319, kcf_ms=10.003, target=valid, CLE=7.211, IoU=0.237
frame=160, load_ms=21.833, kcf_ms=10.129, target=valid, CLE=6.727, IoU=0.235
frame=161, load_ms=21.778, kcf_ms=10.236, target=valid, CLE=3.905, IoU=0.262
frame=162, load_ms=21.759, kcf_ms=10.044, target=valid, CLE=3.354, IoU=0.252
frame=163, load_ms=21.196, kcf_ms=10.132, target=valid, CLE=4.472, IoU=0.305
frame=164, load_ms=21.446, kcf_ms=10.277, target=valid, CLE=5.590, IoU=0.279
frame=165, load_ms=21.458, kcf_ms=10.023, target=valid, CLE=6.325, IoU=0.274
frame=166, load_ms=21.225, kcf_ms=9.968, target=valid, CLE=6.021, IoU=0.285
frame=167, load_ms=21.098, kcf_ms=10.053, target=valid, CLE=3.000, IoU=0.290
frame=168, load_ms=21.246, kcf_ms=10.427, target=valid, CLE=4.000, IoU=0.280
frame=169, load_ms=21.556, kcf_ms=10.229, target=valid, CLE=3.354, IoU=0.308
frame=170, load_ms=21.935, kcf_ms=10.171, target=valid, CLE=6.801, IoU=0.261
frame=171, load_ms=21.001, kcf_ms=10.225, target=valid, CLE=3.536, IoU=0.267
frame=172, load_ms=21.558, kcf_ms=10.079, target=valid, CLE=5.701, IoU=0.237
frame=173, load_ms=21.992, kcf_ms=10.335, target=valid, CLE=4.272, IoU=0.260
frame=174, load_ms=23.842, kcf_ms=11.076, target=valid, CLE=1.118, IoU=0.274
frame=175, load_ms=23.770, kcf_ms=10.709, target=valid, CLE=3.162, IoU=0.274
frame=176, load_ms=21.998, kcf_ms=10.409, target=valid, CLE=5.099, IoU=0.271
frame=177, load_ms=22.716, kcf_ms=11.475, target=valid, CLE=3.500, IoU=0.262
frame=178, load_ms=22.894, kcf_ms=10.735, target=valid, CLE=6.021, IoU=0.292
frame=179, load_ms=21.966, kcf_ms=10.672, target=valid, CLE=2.500, IoU=0.330
frame=180, load_ms=24.107, kcf_ms=10.804, target=valid, CLE=4.717, IoU=0.321
frame=181, load_ms=24.700, kcf_ms=10.503, target=valid, CLE=2.828, IoU=0.375
frame=182, load_ms=22.345, kcf_ms=10.665, target=valid, CLE=5.523, IoU=0.337
frame=183, load_ms=25.198, kcf_ms=10.386, target=valid, CLE=3.162, IoU=0.375
frame=184, load_ms=22.263, kcf_ms=10.900, target=valid, CLE=0.500, IoU=0.350
frame=185, load_ms=22.656, kcf_ms=11.590, target=valid, CLE=3.041, IoU=0.402
frame=186, load_ms=23.181, kcf_ms=10.134, target=valid, CLE=2.915, IoU=0.366
frame=187, load_ms=22.430, kcf_ms=10.332, target=valid, CLE=2.500, IoU=0.396
frame=188, load_ms=21.618, kcf_ms=11.526, target=valid, CLE=4.243, IoU=0.402
frame=189, load_ms=24.657, kcf_ms=11.199, target=valid, CLE=4.031, IoU=0.424
frame=190, load_ms=22.107, kcf_ms=10.960, target=valid, CLE=0.000, IoU=0.394
frame=191, load_ms=22.248, kcf_ms=10.526, target=valid, CLE=4.031, IoU=0.454
frame=192, load_ms=22.115, kcf_ms=10.411, target=valid, CLE=3.500, IoU=0.442
frame=193, load_ms=21.809, kcf_ms=10.634, target=valid, CLE=1.414, IoU=0.441
frame=194, load_ms=21.995, kcf_ms=10.411, target=valid, CLE=3.354, IoU=0.431
frame=195, load_ms=21.851, kcf_ms=10.593, target=valid, CLE=1.803, IoU=0.533
frame=196, load_ms=21.489, kcf_ms=10.605, target=valid, CLE=1.118, IoU=0.507
frame=197, load_ms=22.212, kcf_ms=10.577, target=valid, CLE=3.162, IoU=0.525
frame=198, load_ms=21.917, kcf_ms=10.725, target=valid, CLE=1.118, IoU=0.702
frame=199, load_ms=22.551, kcf_ms=10.309, target=valid, CLE=5.000, IoU=0.554
frame=200, load_ms=21.400, kcf_ms=10.417, target=valid, CLE=3.000, IoU=0.539
frame=201, load_ms=21.033, kcf_ms=10.152, target=valid, CLE=4.528, IoU=0.554
frame=202, load_ms=21.641, kcf_ms=10.099, target=valid, CLE=1.118, IoU=0.515
frame=203, load_ms=21.087, kcf_ms=10.218, target=valid, CLE=2.500, IoU=0.530
frame=204, load_ms=21.140, kcf_ms=10.674, target=valid, CLE=0.000, IoU=0.571
frame=205, load_ms=22.367, kcf_ms=10.492, target=valid, CLE=5.701, IoU=0.495
frame=206, load_ms=21.083, kcf_ms=9.689, target=valid, CLE=1.414, IoU=0.514
frame=207, load_ms=21.336, kcf_ms=10.342, target=valid, CLE=1.000, IoU=0.555
frame=208, load_ms=22.047, kcf_ms=10.516, target=valid, CLE=3.202, IoU=0.570
frame=209, load_ms=21.357, kcf_ms=10.155, target=valid, CLE=3.000, IoU=0.528
frame=210, load_ms=21.431, kcf_ms=9.902, target=valid, CLE=3.041, IoU=0.570
frame=211, load_ms=21.764, kcf_ms=10.370, target=valid, CLE=4.610, IoU=0.501
frame=212, load_ms=21.560, kcf_ms=10.310, target=valid, CLE=5.000, IoU=0.585
frame=213, load_ms=21.038, kcf_ms=10.054, target=valid, CLE=4.301, IoU=0.593
frame=214, load_ms=22.004, kcf_ms=11.077, target=valid, CLE=3.500, IoU=0.597
frame=215, load_ms=20.854, kcf_ms=10.364, target=valid, CLE=1.414, IoU=0.539
frame=216, load_ms=22.158, kcf_ms=10.508, target=valid, CLE=2.500, IoU=0.521
frame=217, load_ms=21.438, kcf_ms=10.086, target=valid, CLE=2.915, IoU=0.495
