output_text=D:/code/cpp/vs/myKCF/joaofaro/joao/run/output_data/20260608_1516.txt
effective_feature_channels=18
Running KCF evaluation
config=D:\code\cpp\vs\myKCF\joaofaro\joao\configs\dut_hog18.yaml
experiment.name=dut_hog18
experiment.description=DUT AUAV video14 image sequence with 18-channel FHOG
input.type=image_sequence
video=
image_dir=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0/video14
image_extension=.jpg
image_start_index=1
image_index_digits=5
annotation=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0GT/video14_gt.txt
save_video=false
output_video=D:/code/cpp/vs/myKCF/joaofaro/joao/run/dut_output.mp4
fixed_window=false
multiscale=true
hog.enabled=true
hog.channels=18
cn.enabled=false
cn.channels=0
lab.enabled=false
fusion.mode=concat
confidence.enabled=false
confidence.psr_exclusion_radius=5
confidence.eps=0.000
confidence.warmup_frames=5
confidence.ema_alpha=0.050
confidence.medium_ema_alpha=0.000
confidence.high_ratio=0.950
confidence.low_ratio=0.600
confidence.medium_lr_factor=0.300
confidence.low_displacement_threshold=0.500
confidence.low_displacement_damping=0.500
frame=1, load_ms=21.419, kcf_ms=0.000, target=valid, CLE=0.000, IoU=1.000, peak=0.000, PSR=0.000, APCE=0.000, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.000, lr=0.000, action=disabled, template_updated=false, scale_updated=false, ema_updated=false
frame=2, load_ms=20.922, kcf_ms=9.773, target=valid, CLE=1.414, IoU=0.891, peak=0.829, PSR=112.670, APCE=105.299, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.006, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=3, load_ms=22.876, kcf_ms=9.727, target=valid, CLE=1.581, IoU=0.929, peak=0.731, PSR=106.197, APCE=73.083, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.014, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=4, load_ms=22.204, kcf_ms=9.487, target=valid, CLE=2.062, IoU=0.868, peak=0.689, PSR=69.853, APCE=80.721, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.008, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=5, load_ms=21.719, kcf_ms=9.469, target=valid, CLE=2.915, IoU=0.854, peak=0.674, PSR=58.013, APCE=73.171, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.019, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=6, load_ms=21.310, kcf_ms=9.373, target=valid, CLE=4.031, IoU=0.820, peak=0.614, PSR=55.304, APCE=58.133, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.009, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=7, load_ms=21.161, kcf_ms=9.632, target=valid, CLE=5.000, IoU=0.823, peak=0.611, PSR=50.969, APCE=51.667, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.007, lr=0.012, action=disabled, template_updated=true, scale_updated=true, ema_updated=false
frame=8, load_ms=21.218, kcf_ms=9.524, target=valid, CLE=6.801, IoU=0.697, peak=0.570, PSR=38.954, APCE=43.210, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.016, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=9, load_ms=21.110, kcf_ms=9.591, target=valid, CLE=6.519, IoU=0.722, peak=0.484, PSR=29.966, APCE=27.788, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.016, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=10, load_ms=21.571, kcf_ms=9.642, target=valid, CLE=7.500, IoU=0.673, peak=0.452, PSR=24.329, APCE=34.671, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.016, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=11, load_ms=21.312, kcf_ms=9.501, target=valid, CLE=3.162, IoU=0.871, peak=0.440, PSR=23.753, APCE=27.110, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.024, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=12, load_ms=21.128, kcf_ms=9.403, target=valid, CLE=1.000, IoU=0.896, peak=0.399, PSR=19.350, APCE=25.928, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.028, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=13, load_ms=20.959, kcf_ms=9.409, target=valid, CLE=6.021, IoU=0.748, peak=0.415, PSR=19.542, APCE=29.933, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.021, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
